2025-12-04 00:04:37,746 - INFO - 📝 Log file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/logs/compete_gpu(35).log
2025-12-04 00:04:37,747 - INFO - 📄 Command file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/command/command_gpu.txt
2025-12-04 00:04:37,868 - INFO - 🖥️ Using 3/10 GPUs: [0, 1, 2]
2025-12-04 00:04:37,868 - INFO - 🖥️ Reserved GPUs: [3, 4, 5, 6, 7, 8, 9] (gpu_left=2, excess=5)
2025-12-04 00:04:37,869 - INFO - 📋 Total tasks: 5, Queues: [1, 2, 3]
2025-12-04 00:04:37,869 - INFO -    Queue 1: 2 tasks
2025-12-04 00:04:37,869 - INFO -    Queue 2: 2 tasks
2025-12-04 00:04:37,869 - INFO -    Queue 3: 1 tasks
2025-12-04 00:04:37,983 - INFO - 🏁 Starting GPU competition scheduler
2025-12-04 00:04:37,983 - INFO - ============================================================
2025-12-04 00:04:37,983 - INFO - 📊 Tasks: Pending=5, Running=0, Completed=0, Failed=0
2025-12-04 00:04:37,983 - INFO -    Queue 1: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:04:37,983 - INFO -    Queue 2: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:04:37,983 - INFO -    Queue 3: 🟢 IDLE, Pending=1, Completed=0
2025-12-04 00:04:37,983 - INFO - ============================================================
2025-12-04 00:04:37,983 - INFO - 🔧 Starting 3 queues with 3 workers
2025-12-04 00:04:37,987 - INFO - 🚀 Queue 1: Starting with 2 tasks
2025-12-04 00:04:37,988 - INFO - 🚀 Queue 2: Starting with 2 tasks
2025-12-04 00:04:37,989 - INFO - 🚀 Queue 3: Starting with 1 tasks
2025-12-04 00:04:38,203 - INFO - ✅ GPU 1 available: 41.6GB free (唯一候选)
2025-12-04 00:04:38,204 - INFO - 🔒 GPU 1 acquired by queue 1
2025-12-04 00:04:38,204 - INFO - 🎯 Queue 1: Executing task 1/2 on GPU 1 (retry=0)
2025-12-04 00:04:38,205 - INFO - 🚀 Starting task (Queue 1, retry=0) on GPU 1
2025-12-04 00:04:38,206 - INFO -    [1/1] [GPU 1] conda activate finer_dynamic && python /home/hdl/project/fgvr_test_new/scripts/c...
2025-12-04 00:04:38,608 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 0s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (41.6GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:38,734 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 1s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (41.6GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:42,123 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 4s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (41.6GB) | GPU2: 🔴 (22.9GB)
2025-12-04 00:04:42,270 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 4s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (41.6GB) | GPU2: 🔴 (22.9GB)
2025-12-04 00:04:45,466 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 7s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:45,651 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 7s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:48,806 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 11s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.9GB)
2025-12-04 00:04:48,991 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 11s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:52,191 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 14s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:52,348 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 14s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:55,543 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 17s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:55,704 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 18s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:58,933 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 21s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:04:59,073 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 21s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (23.0GB)
2025-12-04 00:05:02,296 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 24s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:02,503 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 24s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:05,621 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 27s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:05,834 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 28s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:08,939 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 31s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:09,216 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 31s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:12,309 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 34s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:12,584 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 34s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:15,745 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 37s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:15,970 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 38s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:19,107 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 41s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
