2025-12-04 00:09:47,313 - INFO - 📝 Log file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/logs/compete_gpu(36).log
2025-12-04 00:09:47,313 - INFO - 📄 Command file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/command/command_gpu.txt
2025-12-04 00:09:47,458 - INFO - 🖥️ Using 3/10 GPUs: [0, 1, 2]
2025-12-04 00:09:47,458 - INFO - 🖥️ Reserved GPUs: [3, 4, 5, 6, 7, 8, 9] (gpu_left=2, excess=5)
2025-12-04 00:09:47,459 - INFO - 📋 Total tasks: 5, Queues: [1, 2, 3]
2025-12-04 00:09:47,459 - INFO -    Queue 1: 2 tasks
2025-12-04 00:09:47,459 - INFO -    Queue 2: 2 tasks
2025-12-04 00:09:47,459 - INFO -    Queue 3: 1 tasks
2025-12-04 00:09:47,587 - INFO - 🏁 Starting GPU competition scheduler
2025-12-04 00:09:47,587 - INFO - ============================================================
2025-12-04 00:09:47,587 - INFO - 📊 Tasks: Pending=5, Running=0, Completed=0, Failed=0
2025-12-04 00:09:47,587 - INFO -    Queue 1: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:09:47,587 - INFO -    Queue 2: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:09:47,587 - INFO -    Queue 3: 🟢 IDLE, Pending=1, Completed=0
2025-12-04 00:09:47,587 - INFO - ============================================================
2025-12-04 00:09:47,587 - INFO - 🔧 Starting 3 queues with 3 workers
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 1: Starting with 2 tasks
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 2: Starting with 2 tasks
2025-12-04 00:09:47,589 - INFO - 🚀 Queue 3: Starting with 1 tasks
2025-12-04 00:09:48,020 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 0s) - GPU0: 🔴 (13.5GB) | GPU1: 🔴 (23.1GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:48,331 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 0s) - GPU0: 🔴 (13.5GB) | GPU1: 🔴 (23.1GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:48,510 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 1s) - GPU0: 🔴 (13.5GB) | GPU1: 🔴 (23.1GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:51,604 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 4s) - GPU0: 🔴 (13.6GB) | GPU1: 🔴 (23.1GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:51,846 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 4s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (23.1GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:52,066 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 4s) - GPU0: 🔴 (13.2GB) | GPU1: 🔴 (23.1GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:55,026 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 7s) - GPU0: 🔴 (13.2GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:55,375 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 7s) - GPU0: 🔴 (13.2GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:55,622 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 8s) - GPU0: 🔴 (13.2GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:58,486 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 11s) - GPU0: 🔴 (13.2GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:58,833 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 11s) - GPU0: 🔴 (13.2GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:09:59,075 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 11s) - GPU0: 🔴 (13.2GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:10:01,963 - INFO - ⏳ Queue 1: Waiting for GPU (1GB required, elapsed 14s) - GPU0: 🔴 (13.2GB) | GPU1: 🔴 (23.2GB) | GPU2: 🔴 (22.5GB)
